Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,21.4,48.6,10.0,8.0,4,0,0,0,0,0,0,0,1,0.6,319,0,8
Adrian,WHU,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Aguero,MCI,FWD,113,131.2,140.0,234.0,50.6,3,3,2,0,0,0,0,0,0,52.2,333,4,30
Ake,BOU,DEF,50,1.9,106.4,28.0,13.6,5,1,0,0,0,0,0,0,0,4.6,360,3,19
Albrighton,LEI,MID,53,42.1,37.0,11.0,9.1,2,0,1,0,0,0,0,0,0,0.6,142,0,7
Alderweireld,TOT,DEF,59,21.3,58.0,5.0,8.4,3,0,0,0,0,0,0,0,0,2.6,260,0,9
Alexander-Arnold,LIV,DEF,50,53.5,60.4,43.0,15.7,1,0,0,0,0,0,0,3,0,15.9,356,0,17
Alisson,LIV,GKP,56,0.0,73.4,0.0,7.3,1,0,0,0,0,0,10,0,0,18.7,360,1,22
Alli,TOT,MID,91,45.8,108.6,190.0,34.5,4,1,1,0,0,0,0,0,0,5.8,349,2,19
Alonso,CHE,DEF,68,72.2,131.6,114.0,31.9,3,1,5,0,0,0,0,1,0,41.1,360,9,44
Amartey,LEI,MID,45,15.2,32.2,7.0,5.5,2,0,0,0,0,0,0,1,0,0.3,189,0,5
Amos,TOT,MID,45,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andre Gomes,EVE,MID,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Antonio,WHU,MID,69,52.4,35.4,133.0,22.1,5,0,0,0,0,0,0,1,0,1.0,226,0,6
Armstrong,SOU,MID,53,40.0,6.0,6.0,5.2,1,0,0,0,0,0,0,0,0,0.1,65,0,3
Arnautovic,WHU,FWD,70,56.3,85.2,153.0,29.0,7,2,0,0,0,0,0,0,0,16.9,304,2,17
Arter,CAR,MID,50,20.9,38.2,25.0,8.5,3,0,0,0,0,0,0,3,0,0.3,270,0,5
Atsu,NEW,MID,53,15.8,10.4,1.0,2.7,0,0,0,0,0,0,0,0,0,0.1,57,0,2
Aubameyang,ARS,FWD,109,81.8,58.2,90.0,23.0,8,1,0,0,0,0,0,0,0,12.8,342,2,14
Aurier,TOT,DEF,59,21.1,32.8,4.0,5.8,1,0,1,0,0,0,0,0,0,0.8,104,0,6
Austin,SOU,FWD,58,23.2,18.8,81.0,12.3,3,0,0,0,1,0,0,0,0,0.7,177,0,3
Ayew,CRY,FWD,59,2.7,3.0,88.0,9.4,1,0,0,0,0,0,0,0,0,0.2,75,0,2
Ayite,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Azpilicueta,CHE,DEF,64,79.8,105.0,35.0,22.0,3,0,1,0,0,0,0,0,0,12.1,360,0,18
Bacuna,HUD,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bailly,MUN,DEF,54,0.6,33.2,2.0,3.6,4,0,0,0,0,0,0,0,0,2.4,181,0,4
Baines,EVE,DEF,54,74.7,39.8,15.0,13.0,5,0,0,0,0,0,0,0,0,1.3,284,0,5
Bakayoko,CHE,MID,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Balbuena,WHU,DEF,44,1.6,101.8,29.0,13.3,10,0,0,0,0,0,0,1,0,0.2,360,0,3
Baldock,BHA,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Balogun,BHA,DEF,44,0.3,34.2,2.0,3.6,3,0,0,0,0,0,0,1,0,0.1,160,0,2
Bamba,CAR,DEF,45,1.8,92.6,40.0,13.5,5,0,0,0,0,0,0,0,0,1.1,360,2,16
Baningime,EVE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bardsley,BUR,DEF,44,18.0,22.0,0.0,4.0,2,0,0,0,0,0,0,1,0,0.1,90,0,0
Barkley,CHE,MID,59,26.4,11.4,40.0,7.8,3,0,0,0,0,0,0,0,0,0.4,137,0,5
Barnes,BUR,FWD,58,26.5,7.4,10.0,4.3,1,0,0,0,0,0,0,0,0,0.5,73,0,4
Batth,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Bednarek,SOU,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
Begovic,BOU,GKP,45,0.0,71.2,0.0,7.2,5,0,0,0,0,0,10,0,0,4.6,360,0,12
Bellerin,ARS,DEF,54,55.9,77.8,42.0,17.6,8,0,1,0,0,0,0,1,0,11.1,360,0,7
Benalouane,LEI,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Benkovic,LEI,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bennett,CAR,DEF,45,40.5,84.2,0.0,12.5,5,0,1,0,0,0,0,0,0,0.9,360,2,19
Bennett,WOL,DEF,41,27.8,73.6,0.0,10.0,5,0,0,0,0,0,0,1,0,9.6,360,0,9
Benteke,CRY,FWD,65,50.7,14.2,170.0,23.3,5,0,0,0,0,0,0,0,0,0.9,325,0,8
Bernard,EVE,MID,59,0.5,0.2,0.0,0.1,0,0,0,0,0,0,0,0,0,0.1,5,0,1
Bernardo,BHA,DEF,43,1.8,18.0,0.0,2.0,2,0,0,0,0,0,0,1,0,0.1,90,0,0
Bernardo Silva,MCI,MID,75,55.1,61.2,79.0,19.6,2,1,0,0,0,0,0,0,0,8.0,273,0,13
Bertrand,SOU,DEF,50,95.7,84.0,26.0,20.6,4,1,0,0,0,0,0,1,0,6.1,360,1,20
Bettinelli,FUL,GKP,44,0.0,51.0,0.0,5.1,4,0,0,0,0,1,3,1,0,0.4,180,0,7
Billing,HUD,MID,45,21.0,120.2,67.0,20.9,10,1,0,0,0,0,0,2,0,2.2,360,3,15
Bissouma,BHA,MID,49,19.5,7.4,24.0,5.0,2,0,0,0,0,0,0,0,0,0.0,139,0,4
Blind,MUN,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bogle,CAR,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Bolasie,EVE,MID,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Boly,WOL,DEF,45,8.4,135.4,33.0,17.7,5,1,0,0,0,0,0,0,0,2.2,360,2,18
Bonatini,WOL,FWD,49,17.5,21.8,35.0,7.0,0,0,1,0,0,0,0,0,0,0.7,82,0,6
Bong,BHA,DEF,45,8.3,43.0,0.0,5.1,7,0,0,0,0,0,0,0,0,0.2,334,0,5
Boruc,BOU,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.7,0,0,0
Boufal,SOU,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Brady,BUR,MID,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bravo,MCI,GKP,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
