Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Ayite,FUL,MID,44,5.4,8.4,9.0,2.0,3,0,0,0,0,0,0,0,0,0.1,104,0,4
Azpilicueta,CHE,DEF,63,197.3,209.0,67.0,47.4,8,0,1,0,0,0,0,0,0,9.8,990,1,44
Bacuna,HUD,MID,43,0.3,3.0,0.0,0.3,1,0,0,0,0,0,0,0,0,0.2,13,0,2
Bailly,MUN,DEF,51,0.7,35.6,4.0,4.1,6,0,0,0,0,0,0,0,0,1.5,200,0,5
Baines,EVE,DEF,51,74.7,39.8,15.0,13.0,5,0,0,0,0,0,0,0,0,0.7,284,0,5
Bakayoko,CHE,MID,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Balbuena,WHU,DEF,44,34.9,280.2,139.0,45.6,17,1,0,0,0,0,0,1,0,0.8,990,3,29
Baldock,BHA,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Balogun,BHA,DEF,42,0.3,34.2,2.0,3.6,3,0,0,0,0,0,0,1,0,0.1,160,0,2
Bamba,CAR,DEF,45,23.2,271.2,119.0,41.3,19,1,1,0,0,0,0,1,0,1.0,900,2,30
Baningime,EVE,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bardsley,BUR,DEF,43,18.9,31.2,1.0,5.1,3,0,0,0,0,0,0,2,0,0.1,180,0,1
Barkley,CHE,MID,59,111.2,188.8,163.0,46.2,6,3,3,0,0,0,0,0,0,9.7,451,5,46
Barnes,BUR,FWD,57,41.1,82.2,86.0,20.8,6,2,0,0,0,0,0,1,0,0.4,267,3,21
Batth,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Bednarek,SOU,DEF,39,0.6,38.6,0.0,4.0,1,0,0,0,0,0,0,0,0,4.1,80,0,2
Begovic,BOU,GKP,45,0.0,194.8,0.0,19.6,14,0,0,0,0,0,28,0,0,4.4,990,2,39
Bellerin,ARS,DEF,54,135.5,204.4,151.0,49.1,13,0,4,1,0,0,0,1,0,10.3,945,3,38
Benalouane,LEI,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Benkovic,LEI,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bennett,WOL,DEF,42,56.0,187.8,70.0,31.3,12,0,0,0,0,0,0,3,0,11.5,990,1,32
Bennett,CAR,DEF,45,115.5,165.0,13.0,29.4,17,0,1,0,0,0,0,0,0,0.6,810,2,24
Benteke,CRY,FWD,63,50.7,14.2,170.0,23.3,5,0,0,0,0,0,0,0,0,0.5,325,0,8
Bernard,EVE,MID,59,150.5,64.6,37.0,25.0,5,0,2,0,0,0,0,1,0,0.3,355,2,20
Bernardo,BHA,DEF,42,15.8,31.0,0.0,4.7,2,0,0,0,0,0,0,1,0,0.1,112,0,1
Bernardo Silva,MCI,MID,76,297.3,235.4,319.0,85.2,3,3,1,0,0,0,0,1,0,8.3,870,3,46
Bertrand,SOU,DEF,49,220.5,201.4,82.0,50.3,20,1,0,0,0,0,0,4,0,4.2,990,1,32
Bettinelli,FUL,GKP,44,0.0,195.0,0.0,19.4,20,0,0,0,0,1,20,1,0,0.6,630,0,15
Billing,HUD,MID,45,122.4,223.2,152.0,49.9,20,1,0,0,0,0,0,4,0,2.2,956,3,28
Bissouma,BHA,MID,47,24.7,35.0,31.0,9.0,9,0,0,0,0,0,0,1,0,0.0,441,0,13
Blind,MUN,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bogle,CAR,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bolasie,EVE,MID,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Boly,WOL,DEF,46,24.6,264.6,101.0,39.0,12,1,0,0,0,0,0,0,0,4.8,990,3,43
Bonatini,WOL,FWD,48,30.9,24.6,90.0,13.6,0,0,1,0,0,0,0,0,0,0.5,130,0,10
Bong,BHA,DEF,45,48.1,109.0,0.0,15.6,16,0,0,0,0,0,0,0,0,0.2,964,0,27
Boruc,BOU,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.2,0,0,0
Boufal,SOU,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Brady,BUR,MID,54,43.8,23.2,22.0,8.9,6,0,1,0,0,0,0,2,0,0.0,105,0,4
Bravo,MCI,GKP,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Brian Murphy,CAR,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Britos,WAT,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Brooks,BOU,MID,51,142.5,181.6,288.0,61.3,9,3,0,0,0,0,0,1,0,2.6,723,2,38
Browning,EVE,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bruno,BHA,DEF,44,37.4,80.6,4.0,12.3,3,0,1,0,0,0,0,0,0,0.9,362,4,27
Bryan,FUL,DEF,48,70.3,66.8,15.0,15.2,9,0,0,0,0,0,0,0,0,0.1,315,0,5
Button,BHA,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.7,0,0,0
Byram,WHU,DEF,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Caballero,CHE,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Cahill,CHE,DEF,51,0.0,2.8,0.0,0.3,0,0,0,0,0,0,0,0,0,0.6,21,0,1
Cairney,FUL,MID,48,112.3,74.8,16.0,20.4,10,0,1,0,0,0,0,0,0,0.6,385,0,13
Calvert-Lewin,EVE,FWD,53,26.6,85.2,122.0,23.4,6,2,0,0,0,0,0,1,0,0.8,352,2,22
Camarasa,CAR,MID,45,258.5,136.8,92.0,48.8,22,1,1,0,0,0,0,2,0,1.3,867,2,30
Capoue,WAT,MID,51,63.8,239.4,75.0,37.9,13,1,2,0,0,0,0,5,0,1.8,990,8,39
Carlos Sanchez,WHU,MID,44,27.7,20.2,24.0,7.2,4,0,0,0,0,0,0,0,0,0.2,217,0,7
Carrillo,SOU,FWD,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Carroll,WHU,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Cathcart,WAT,DEF,45,15.5,216.2,137.0,37.0,13,1,0,1,0,0,0,1,0,1.0,981,3,36
Cavaleiro,WOL,MID,52,87.7,55.4,55.0,19.4,3,1,0,0,0,0,0,1,0,0.0,147,0,10
Cech,ARS,GKP,50,0.0,205.0,0.0,20.4,9,0,0,0,0,0,27,0,0,1.5,585,3,24
Chalobah,WAT,MID,45,0.4,0.4,2.0,0.3,0,0,0,0,0,0,0,0,0,0.1,9,0,2
Chamberlain,LIV,MID,64,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Chambers,FUL,DEF,42,1.7,95.8,18.0,11.6,8,0,0,0,0,0,0,1,0,0.9,336,0,5
Chicharito,WHU,FWD,62,31.2,48.2,85.0,16.4,7,1,1,0,0,0,0,0,0,1.1,262,1,17
Chilwell,LEI,DEF,50,206.1,209.0,112.0,52.9,16,0,2,0,0,0,0,1,0,1.8,990,5,38
Choudhury,LEI,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Christensen,CHE,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Christie,FUL,DEF,42,113.7,99.6,25.0,23.8,13,0,0,0,0,0,0,1,0,0.1,402,0,4
Cisse,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Clark,NEW,DEF,45,2.2,136.6,47.0,18.7,10,1,0,0,0,0,0,0,0,0.2,485,0,16
Cleverley,WAT,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Clyne,LIV,DEF,46,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Coady,WOL,DEF,45,5.9,176.8,0.0,18.1,12,0,0,0,0,0,0,2,0,0.5,990,2,34
Coleman,EVE,DEF,52,77.5,147.6,72.0,29.7,9,1,0,0,0,0,0,1,0,0.8,630,2,22
Connolly,CAR,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
Cork,BUR,MID,47,103.1,100.2,55.0,25.9,20,0,0,0,0,0,0,3,0,0.4,882,0,19
Costa,WOL,MID,49,124.5,51.0,147.0,32.3,12,0,0,0,0,0,0,0,0,0.5,794,0,23
Courtois,CHE,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Coventry,WHU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Cresswell,WHU,DEF,51,86.5,62.0,10.0,15.8,5,0,0,0,0,0,0,1,0,0.7,285,0,5
Cunningham,CAR,DEF,42,16.9,32.6,8.0,5.8,7,0,0,0,0,0,0,1,0,0.1,180,0,0
Cedric,SOU,DEF,44,145.4,176.4,79.0,40.1,20,0,1,0,0,0,0,3,0,4.6,955,7,31
Dahlberg,WAT,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dalot,MUN,DEF,53,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Damour,CAR,MID,44,1.0,0.6,8.0,0.9,2,0,0,0,0,0,0,0,0,0.0,21,0,2
Daniels,BOU,DEF,42,76.6,68.2,33.0,17.7,3,0,0,0,0,0,0,1,0,4.7,360,0,14
Danilo,MCI,DEF,51,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Dann,CRY,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Darlow,NEW,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Darmian,MUN,DEF,46,2.3,20.6,7.0,3.0,1,0,0,0,0,0,0,0,0,0.2,90,0,2
David Luiz,CHE,DEF,55,83.6,238.6,92.0,41.3,8,0,0,0,0,0,0,1,0,5.3,990,3,42
David Silva,MCI,MID,85,468.0,278.2,454.0,120.2,4,3,2,0,0,0,0,1,0,7.4,742,5,48
Davies,TOT,DEF,56,98.7,106.4,72.0,27.7,7,0,0,0,0,0,0,1,0,2.2,548,0,15
Davies,EVE,MID,52,55.3,61.6,26.0,14.3,7,0,0,0,0,0,0,2,0,0.1,496,0,11
Davis,SOU,MID,47,0.2,1.0,0.0,0.1,1,0,0,0,0,0,0,0,0,0.1,6,0,1
De Bruyne,MCI,MID,97,31.6,9.6,15.0,5.6,0,0,0,0,0,0,0,1,0,3.5,81,0,2
De Gea,MUN,GKP,58,0.0,294.8,0.0,29.5,18,0,0,0,0,0,40,0,0,16.4,990,1,32
Deeney,WAT,FWD,59,143.2,151.8,343.0,63.8,12,2,1,0,0,0,0,1,0,2.7,718,4,30
Defoe,BOU,FWD,56,0.0,3.0,23.0,2.6,2,0,0,0,0,0,0,0,0,0.4,14,0,3
Defour,BUR,MID,54,17.1,37.6,0.0,5.5,11,0,0,0,0,0,0,0,0,0.0,254,0,6
Delph,MCI,DEF,53,26.3,35.4,0.0,6.1,0,0,0,0,0,0,0,0,0,0.2,167,2,15
Dembele,TOT,MID,49,17.5,51.0,1.0,7.1,6,0,0,0,0,0,0,1,0,1.0,512,0,14
Dendoncker,WOL,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Depoitre,HUD,FWD,52,78.2,37.0,162.0,27.5,13,0,1,0,0,0,0,1,0,0.5,537,0,17
Deulofeu,WAT,MID,54,52.2,36.4,89.0,17.6,1,1,0,0,0,0,0,0,0,0.8,213,0,14
Diabate,LEI,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Diakhaby,HUD,MID,47,23.7,18.2,10.0,5.0,6,0,0,0,0,0,0,0,0,0.0,230,0,9
Diame,NEW,MID,49,32.1,146.0,79.0,25.8,14,0,0,0,0,0,0,2,0,0.1,975,0,24
Diangana,WHU,MID,45,66.6,48.4,43.0,15.8,3,0,1,0,0,0,0,0,0,0.2,210,0,10
Diaz,MCI,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dier,TOT,MID,48,81.6,148.2,45.0,27.6,6,1,0,0,0,0,0,1,0,1.6,757,0,26
Digne,EVE,DEF,48,280.6,171.8,74.0,52.7,10,0,1,0,0,0,0,1,0,1.7,709,2,26
Diop,WHU,DEF,43,22.4,202.2,29.0,25.3,11,0,0,1,0,0,0,1,0,0.6,810,0,17
Doherty,WOL,DEF,49,222.3,235.2,237.0,69.3,12,1,2,1,0,0,0,0,0,16.2,949,9,53
Doucoure,WAT,MID,59,209.0,213.2,122.0,54.4,13,0,4,1,0,0,0,2,0,1.7,990,6,39
Douglas,WOL,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dowell,EVE,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Drinkwater,CHE,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dubravka,NEW,GKP,50,0.0,256.4,0.0,25.5,14,0,0,0,0,0,31,0,0,0.6,990,5,45
Duffy,BHA,DEF,46,21.1,375.6,84.0,48.1,16,2,2,0,0,0,0,2,0,6.8,990,3,46
Dummett,NEW,DEF,44,65.8,172.4,4.0,24.2,9,0,0,0,0,0,0,0,0,0.2,810,0,30
Dunk,BHA,DEF,44,33.1,215.6,53.0,30.2,13,1,0,0,0,0,0,2,0,2.0,829,2,31
Durm,HUD,DEF,44,67.8,73.0,67.0,20.7,10,0,0,0,0,0,0,0,0,0.1,464,0,8
Ecuele Manga,CAR,DEF,45,73.1,218.0,5.0,29.7,24,0,1,0,0,0,0,0,0,0.1,990,0,23
Ederson,MCI,GKP,58,20.0,174.4,0.0,19.4,4,0,1,0,0,0,19,0,0,26.5,990,4,60
Elliot,NEW,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Elneny,ARS,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
Elyounoussi,SOU,MID,62,186.8,75.2,152.0,41.4,3,0,0,0,0,0,0,0,0,0.2,513,0,18
Emerson,CHE,DEF,52,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Enobakhare,WOL,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Eriksen,TOT,MID,92,202.7,114.2,129.0,44.8,9,0,2,0,0,0,0,0,0,4.2,581,0,22
Etheridge,CAR,GKP,45,0.0,329.2,0.0,32.8,24,0,0,0,0,2,37,0,0,6.1,990,3,41
Evans,LEI,DEF,48,11.7,48.4,29.0,8.9,4,0,0,0,0,0,0,1,0,0.3,339,0,15
Fabianski,WHU,GKP,45,0.0,329.2,0.0,32.7,17,0,0,0,0,0,45,0,0,13.9,990,6,40
Fabinho,LIV,MID,55,28.9,28.8,16.0,7.4,2,0,0,0,0,0,0,1,0,0.5,201,0,4
Fabri,FUL,GKP,43,0.0,115.2,0.0,11.5,5,0,0,0,0,0,15,0,0,0.3,180,2,8
Felipe Anderson,WHU,MID,69,364.9,288.2,201.0,85.4,15,3,1,0,0,0,0,3,0,3.7,900,5,43
Fellaini,MUN,MID,49,57.9,119.6,109.0,28.6,7,0,2,0,0,0,0,0,0,0.6,470,0,19
Fernandes,WHU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Fernandinho,MCI,MID,54,147.8,222.0,93.0,46.4,4,1,2,0,0,0,0,2,0,5.4,961,3,41
Fernandez,NEW,DEF,44,40.9,184.8,44.0,27.0,10,0,1,0,0,0,0,1,0,0.2,720,3,29
Firmino,LIV,FWD,92,182.0,173.8,306.0,65.6,2,2,2,0,0,0,0,0,0,18.5,824,4,39
Foden,MCI,MID,46,52.9,14.2,69.0,13.6,0,0,0,0,0,0,0,0,0,0.1,64,0,5
Fonte,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Forster,SOU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Foster,WAT,GKP,45,30.0,203.4,0.0,23.4,13,0,0,0,0,0,25,0,0,4.4,990,1,35
Fosu-Mensah,FUL,DEF,45,85.9,65.4,26.0,17.6,12,0,0,1,0,0,0,2,0,0.4,502,0,4
Foyth,TOT,DEF,50,0.3,10.2,0.0,1.1,2,0,0,0,0,0,0,1,0,0.0,90,0,0
Francis,BOU,DEF,44,92.0,179.2,24.0,29.5,9,0,1,0,0,0,0,0,0,0.4,642,0,27
Fraser,BOU,MID,61,376.2,307.2,220.0,90.4,13,3,5,0,0,0,0,1,0,24.4,932,9,64
Fred,MUN,MID,56,118.0,101.0,61.0,28.1,10,1,0,0,0,0,0,1,0,1.6,482,3,20
Fredericks,WHU,DEF,46,36.9,43.0,10.0,9.1,8,0,0,0,0,0,0,2,0,0.2,270,0,1
Fuchs,LEI,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Fabregas,CHE,MID,63,2.5,5.2,0.0,0.8,0,0,0,0,0,0,0,0,0,0.4,22,0,2
Gabbiadini,SOU,FWD,56,28.9,13.8,55.0,9.3,5,0,0,0,0,0,0,0,0,0.1,178,0,8
Gayle,NEW,FWD,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gazzaniga,TOT,GKP,45,0.0,55.6,0.0,5.5,1,0,0,0,0,0,8,0,0,0.0,180,0,10
Ghezzal,LEI,MID,52,124.2,63.4,61.0,24.8,8,1,0,0,0,0,0,2,0,0.2,310,2,15
Gibbs-White,WOL,MID,43,30.5,11.6,2.0,4.3,0,0,0,0,0,0,0,1,0,0.3,59,0,4
Gibson,BUR,DEF,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Giroud,CHE,FWD,77,171.4,94.6,197.0,45.6,2,0,4,0,0,0,0,0,0,2.1,381,2,27
Gomes,WAT,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Gomez,LIV,DEF,51,89.9,183.6,44.0,31.8,4,0,0,0,0,0,0,0,0,4.1,845,2,41
Gosling,BOU,MID,49,67.6,89.8,46.0,20.2,8,0,0,0,0,0,0,3,0,0.1,539,0,13
Grant,MUN,GKP,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Gray,LEI,MID,54,71.3,121.2,144.0,33.6,8,2,1,0,0,0,0,1,0,1.1,536,2,30
Gray,WAT,FWD,60,70.1,126.6,251.0,44.5,9,3,0,0,0,0,0,1,0,1.2,627,2,31
Gross,BHA,MID,67,76.4,70.6,63.0,21.0,4,1,0,0,1,0,0,0,0,1.7,217,3,11
Guaita,CRY,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gudmundsson,BUR,MID,60,201.0,243.0,174.0,61.8,20,2,5,0,0,0,0,2,0,3.3,824,5,49
Guendouzi,ARS,MID,45,47.2,89.8,16.0,15.3,10,0,0,0,0,0,0,2,0,2.0,478,0,10
Gueye,EVE,MID,48,74.5,209.8,31.0,31.5,14,0,0,0,0,0,0,3,0,0.3,887,0,19
Gunn,SOU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Gunnarsson,CAR,MID,44,13.1,42.0,2.0,5.7,5,0,0,0,0,0,0,1,0,0.4,238,0,5
Gundogan,MCI,MID,54,130.0,110.0,117.0,35.5,2,1,2,0,0,0,0,0,0,1.6,352,5,28
Hadergjonaj,HUD,DEF,44,106.8,75.4,27.0,20.7,13,0,0,0,0,0,0,1,0,0.1,658,0,20
Halford,CAR,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hamer,HUD,GKP,40,0.0,78.4,0.0,7.8,9,0,0,0,0,0,11,0,0,8.1,192,0,4
Harris,CAR,MID,45,2.1,38.0,37.0,7.7,2,1,0,0,0,0,0,0,0,0.0,36,0,8
Hart,BUR,GKP,46,0.0,383.8,0.0,38.3,25,0,0,0,0,1,50,0,0,8.5,990,3,41
Hause,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Hayden,NEW,MID,44,2.1,19.4,0.0,2.2,2,0,0,0,0,0,0,0,1,0.1,110,0,0
Hazard,CHE,MID,113,417.8,421.2,451.0,129.1,5,7,4,0,0,0,0,1,0,44.2,692,13,79
Heaton,BUR,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Hemed,BHA,FWD,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Henderson,LIV,MID,53,62.5,78.8,2.0,14.6,3,0,0,0,0,0,0,0,0,0.6,455,0,15
Hendrick,BUR,MID,53,51.0,65.2,139.0,25.5,18,1,0,0,0,0,0,2,0,0.2,540,0,18
Hennessey,CRY,GKP,46,0.0,267.6,0.0,26.9,16,0,0,0,0,1,32,0,0,6.2,990,3,43
Herrera,MUN,MID,50,3.7,35.4,57.0,9.7,3,0,0,0,0,0,0,1,0,0.1,122,0,4
Hoedt,SOU,DEF,44,17.3,236.6,20.0,27.6,20,0,0,2,0,0,0,1,0,0.3,990,3,27
Hogg,HUD,MID,44,72.1,92.8,20.0,18.4,10,0,0,0,0,0,0,0,1,0.2,602,0,13
Hoilett,CAR,MID,51,56.0,52.0,67.0,16.9,18,0,1,0,0,0,0,2,0,0.1,618,0,17
Holding,ARS,DEF,44,3.4,125.8,11.0,14.1,5,0,0,0,0,0,0,1,0,0.8,501,5,18
Holebas,WAT,DEF,48,320.1,246.6,44.0,61.1,13,1,4,0,0,0,0,6,0,12.4,803,6,36
Holgate,EVE,DEF,44,5.0,92.2,2.0,9.9,9,0,0,0,0,0,0,1,0,0.1,407,0,5
Hudson-Odoi,CHE,MID,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
Hughes,WAT,MID,50,168.6,164.4,199.0,53.3,12,1,1,0,0,0,0,3,0,1.7,896,2,32
Hugill,WHU,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hyndman,BOU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hojbjerg,SOU,MID,45,128.0,194.6,119.0,44.4,18,2,0,0,0,0,0,1,1,4.7,706,4,28
Ibe,BOU,MID,51,58.2,15.0,10.0,8.3,3,0,0,0,0,0,0,0,0,0.2,65,0,4
Iborra,LEI,MID,47,9.0,22.8,21.0,5.4,2,0,0,0,0,0,0,0,0,0.0,113,0,5
Iheanacho,LEI,FWD,59,138.1,112.8,124.0,37.1,8,1,4,0,0,0,0,0,0,1.8,574,3,36
Ince,HUD,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Ings,SOU,FWD,55,172.0,213.8,487.0,87.3,14,4,0,0,0,0,0,1,0,5.1,781,4,38
Iwobi,ARS,MID,55,105.4,126.2,112.0,34.2,7,1,3,0,0,0,0,0,0,1.2,435,0,26
Izquierdo,BHA,MID,59,6.3,31.0,75.0,11.3,2,0,1,0,0,0,0,0,0,0.1,247,0,13
Jach,CRY,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Jagielka,EVE,DEF,43,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0.5,39,0,-3
Jahanbakhsh,BHA,MID,67,58.7,44.0,73.0,17.5,4,0,0,0,0,0,0,2,0,0.7,437,0,15
Jakupovic,LEI,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
James,LEI,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Janmaat,WAT,DEF,49,93.5,125.8,30.0,25.1,6,0,1,0,0,0,0,2,0,0.3,521,4,20
Jazz Richards,CAR,DEF,39,1.5,12.2,0.0,1.5,4,0,0,0,0,0,0,0,0,0.8,97,0,1
Jesus,MCI,FWD,101,113.6,85.6,324.0,52.4,2,1,0,0,0,0,0,0,0,1.3,295,1,15
Jimenez,WOL,FWD,57,224.7,229.8,446.0,89.6,12,3,4,0,0,0,0,0,0,8.3,895,5,50
Johansen,FUL,MID,52,27.9,42.6,3.0,7.4,11,0,0,0,0,0,0,2,0,0.1,307,0,9
Jones,MUN,DEF,51,0.3,8.2,0.0,0.9,2,0,0,0,0,0,0,0,0,0.5,57,0,0
Jonny,WOL,DEF,45,170.2,192.0,155.0,51.9,12,1,1,0,0,0,0,2,0,3.0,918,4,44
Jorginho,CHE,MID,50,230.0,233.4,37.0,50.0,8,1,0,0,0,0,0,0,0,9.5,966,1,33
Joselu,NEW,FWD,50,29.3,107.4,215.0,35.0,9,2,0,0,0,0,0,1,0,3.6,436,3,22
Jota,WOL,MID,59,141.6,56.0,176.0,37.5,8,0,1,0,0,0,0,3,0,1.0,740,0,22
Kabasele,WAT,DEF,45,11.4,145.8,167.0,32.4,12,0,0,0,0,0,0,0,1,0.4,666,0,13
Kaboul,WAT,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kachunga,HUD,FWD,48,9.6,6.0,21.0,3.3,2,0,0,0,0,0,0,0,0,0.1,153,0,4
Kaikai,CRY,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Kamara,FUL,FWD,43,66.4,13.8,54.0,12.6,10,0,0,0,0,0,0,1,0,7.7,242,0,5
Kane,TOT,FWD,124,158.8,315.0,549.0,102.2,10,6,1,0,0,0,0,3,0,23.4,981,10,56
Kante,CHE,MID,49,258.1,195.2,142.0,59.5,8,1,1,0,0,0,0,2,0,16.5,990,0,33
Karius,LIV,GKP,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kayal,BHA,MID,44,40.9,155.6,29.0,22.6,8,1,1,0,0,0,0,4,0,1.0,507,0,20
Keane,EVE,DEF,49,60.3,242.4,154.0,45.9,11,1,2,0,0,0,0,0,0,2.1,810,8,42
Kebano,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Keita,LIV,MID,72,66.6,69.4,78.0,21.5,0,0,0,0,0,0,0,0,0,1.8,436,0,18
Kelly,CRY,DEF,39,4.8,45.2,0.0,5.0,4,0,0,0,0,0,0,0,0,5.9,180,0,2
