Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,19.7,42.4,10.0,7.2,3,0,0,0,0,0,0,0,1,0.7,240,0,6
Adrian,WHU,GKP,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Aguero,MCI,FWD,112,83.1,115.6,195.0,39.4,2,3,1,0,0,0,0,0,0,46.8,243,3,24
Ake,BOU,DEF,50,1.7,88.2,21.0,11.1,3,1,0,0,0,0,0,0,0,4.3,270,3,18
Albrighton,LEI,MID,54,19.3,25.2,8.0,5.3,0,0,1,0,0,0,0,0,0,0.7,82,0,5
Alderweireld,TOT,DEF,59,2.3,10.6,5.0,1.8,1,0,0,0,0,0,0,0,0,2.7,90,0,2
Alexander-Arnold,LIV,DEF,50,52.3,51.4,42.0,14.6,0,0,0,0,0,0,0,3,0,17.1,268,0,15
Alisson,LIV,GKP,55,0.0,54.2,0.0,5.4,0,0,0,0,0,0,6,0,0,16.6,270,1,19
Alli,TOT,MID,91,23.2,77.4,123.0,22.4,2,1,1,0,0,0,0,0,0,7.6,169,2,14
Alonso,CHE,DEF,66,45.4,88.0,51.0,18.5,2,1,2,0,0,0,0,0,0,29.0,230,5,25
Amartey,LEI,MID,45,15.0,28.0,7.0,5.1,2,0,0,0,0,0,0,1,0,0.3,182,0,4
Amos,TOT,MID,45,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andre Gomes,EVE,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Antonio,WHU,MID,69,39.3,30.6,38.0,10.8,5,0,0,0,0,0,0,1,0,1.2,152,0,3
Armstrong,SOU,MID,54,40.0,6.0,6.0,5.2,1,0,0,0,0,0,0,0,0,0.2,65,0,3
Arnautovic,WHU,FWD,70,54.8,78.6,117.0,24.6,6,2,0,0,0,0,0,0,0,19.5,214,2,15
Arter,CAR,MID,50,21.1,28.2,9.0,5.9,0,0,0,0,0,0,0,2,0,0.3,180,0,4
Atsu,NEW,MID,54,14.0,6.2,1.0,2.1,0,0,0,0,0,0,0,0,0,0.1,21,0,1
Aubameyang,ARS,FWD,110,75.6,18.6,61.0,15.5,6,0,0,0,0,0,0,0,0,15.7,254,0,6
Aurier,TOT,DEF,60,20.7,32.8,4.0,5.8,1,0,1,0,0,0,0,0,0,1.0,90,0,5
Austin,SOU,FWD,59,22.4,13.6,42.0,7.8,3,0,0,0,0,0,0,0,0,1.2,149,0,4
Ayew,CRY,FWD,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Ayite,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Azpilicueta,CHE,DEF,65,48.0,64.2,0.0,11.3,2,0,1,0,0,0,0,0,0,13.8,230,0,11
Bacuna,HUD,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bailly,MUN,DEF,55,0.6,31.2,2.0,3.4,4,0,0,0,0,0,0,0,0,3.4,180,0,3
Baines,EVE,DEF,55,55.8,36.4,15.0,10.8,5,0,0,0,0,0,0,0,0,1.6,270,0,4
