Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,52.2,150.0,41.0,24.4,9,1,0,0,0,0,0,0,1,0.9,756,0,30
Adrian,WHU,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Aguero,MCI,FWD,113,190.8,271.0,587.0,104.8,3,6,4,0,0,0,0,1,0,51.3,641,6,58
Ake,BOU,DEF,50,8.8,227.0,112.0,34.8,12,1,0,0,0,0,0,0,0,4.4,810,3,34
Albrighton,LEI,MID,52,60.2,78.2,36.0,17.5,6,1,1,0,0,0,0,1,0,0.5,252,0,16
Alderweireld,TOT,DEF,59,34.2,160.4,26.0,22.0,6,0,0,0,0,0,0,1,0,2.8,710,1,30
Alexander-Arnold,LIV,DEF,51,110.0,112.0,60.0,28.2,2,0,1,0,0,0,0,3,0,19.3,625,2,36
Alisson,LIV,GKP,56,0.0,163.0,0.0,16.2,3,0,0,0,0,0,19,0,0,20.3,810,1,45
Alli,TOT,MID,89,48.1,111.4,192.0,35.2,5,1,1,0,0,0,0,0,0,2.7,361,2,20
Alonso,CHE,DEF,70,159.9,203.0,158.0,52.2,7,1,5,0,0,0,0,1,0,45.9,810,9,61
Amartey,LEI,MID,44,33.4,116.0,20.0,17.1,8,0,0,0,0,0,0,2,0,0.3,549,0,13
Amos,TOT,MID,44,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Andre Gomes,EVE,MID,54,5.4,3.4,9.0,1.8,0,0,0,0,0,0,0,0,0,0.1,81,0,3
Antonio,WHU,MID,68,65.4,45.8,220.0,33.2,5,0,0,0,0,0,0,1,0,0.9,371,0,13
Armstrong,SOU,MID,51,44.2,20.2,25.0,9.0,3,0,0,0,0,0,0,0,0,0.1,143,0,6
Arnautovic,WHU,FWD,70,136.9,193.4,352.0,67.8,11,4,1,0,0,0,0,2,0,17.0,629,6,38
Arter,CAR,MID,49,52.5,71.4,42.0,16.7,15,0,0,0,0,0,0,4,0,0.2,670,0,13
Atsu,NEW,MID,52,47.0,35.6,8.0,9.0,3,0,0,0,0,0,0,0,0,0.1,176,0,6
Aubameyang,ARS,FWD,108,125.4,258.4,245.0,62.9,8,6,2,0,0,0,0,0,0,12.3,611,9,55
Aurier,TOT,DEF,58,21.1,32.8,4.0,5.8,1,0,1,0,0,0,0,0,0,0.6,104,0,6
Austin,SOU,FWD,55,50.3,43.6,117.0,21.1,3,0,0,0,1,0,0,0,0,0.4,341,0,8
Ayew,CRY,FWD,58,65.1,34.6,119.0,21.9,3,0,1,0,0,0,0,0,0,0.2,387,0,13
Ayite,FUL,MID,44,5.4,8.4,9.0,2.0,3,0,0,0,0,0,0,0,0,0.1,104,0,4
Azpilicueta,CHE,DEF,64,173.9,174.0,63.0,41.1,7,0,1,0,0,0,0,0,0,10.2,810,0,35
Bacuna,HUD,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Bailly,MUN,DEF,51,0.7,35.6,4.0,4.1,6,0,0,0,0,0,0,0,0,1.6,200,0,5
Baines,EVE,DEF,52,74.7,39.8,15.0,13.0,5,0,0,0,0,0,0,0,0,0.8,284,0,5
Bakayoko,CHE,MID,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Balbuena,WHU,DEF,44,33.7,201.2,94.0,33.0,14,0,0,0,0,0,0,1,0,0.3,810,2,19
Baldock,BHA,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Balogun,BHA,DEF,43,0.3,34.2,2.0,3.6,3,0,0,0,0,0,0,1,0,0.1,160,0,2
Bamba,CAR,DEF,45,22.8,223.4,94.0,34.0,14,1,1,0,0,0,0,1,0,1.1,720,2,28
Baningime,EVE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bardsley,BUR,DEF,43,18.9,31.2,1.0,5.1,3,0,0,0,0,0,0,2,0,0.1,180,0,1
Barkley,CHE,MID,57,54.6,107.8,146.0,30.8,5,2,1,0,0,0,0,0,0,1.2,298,2,27
Barnes,BUR,FWD,57,40.1,81.0,80.0,20.1,3,2,0,0,0,0,0,0,0,0.4,224,3,20
Batth,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Bednarek,SOU,DEF,39,0.6,38.6,0.0,4.0,1,0,0,0,0,0,0,0,0,4.2,80,0,2
Begovic,BOU,GKP,45,0.0,159.4,0.0,16.1,12,0,0,0,0,0,23,0,0,4.4,810,2,31
Bellerin,ARS,DEF,54,126.6,187.4,116.0,43.0,11,0,4,1,0,0,0,1,0,11.4,810,3,35
Benalouane,LEI,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Benkovic,LEI,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bennett,WOL,DEF,42,51.9,163.6,45.0,26.0,8,0,0,0,0,0,0,2,0,12.0,810,1,30
Bennett,CAR,DEF,45,93.6,124.4,11.0,22.9,12,0,1,0,0,0,0,0,0,0.7,630,2,22
Benteke,CRY,FWD,63,50.7,14.2,170.0,23.3,5,0,0,0,0,0,0,0,0,0.5,325,0,8
Bernard,EVE,MID,59,117.1,54.8,21.0,19.3,2,0,2,0,0,0,0,1,0,0.3,227,2,16
Bernardo,BHA,DEF,42,15.8,31.0,0.0,4.7,2,0,0,0,0,0,0,1,0,0.1,112,0,1
Bernardo Silva,MCI,MID,76,242.8,203.8,229.0,67.6,2,3,1,0,0,0,0,1,0,9.6,690,3,41
Bertrand,SOU,DEF,49,138.8,150.8,81.0,37.0,14,1,0,0,0,0,0,4,0,4.6,810,1,27
Bettinelli,FUL,GKP,44,0.0,195.0,0.0,19.4,20,0,0,0,0,1,20,1,0,0.6,630,0,15
Billing,HUD,MID,45,94.9,193.0,140.0,42.9,18,1,0,0,0,0,0,3,0,2.4,789,3,24
Bissouma,BHA,MID,48,24.0,28.2,31.0,8.2,8,0,0,0,0,0,0,1,0,0.0,402,0,11
Blind,MUN,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bogle,CAR,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Bolasie,EVE,MID,58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Boly,WOL,DEF,46,22.9,233.8,71.0,32.7,8,1,0,0,0,0,0,0,0,5.3,810,3,40
Bonatini,WOL,FWD,48,18.0,21.8,84.0,11.4,0,0,1,0,0,0,0,0,0,0.5,97,0,8
Bong,BHA,DEF,45,42.7,81.8,0.0,12.3,13,0,0,0,0,0,0,0,0,0.2,784,0,20
Boruc,BOU,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.3,0,0,0
Boufal,SOU,MID,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Brady,BUR,MID,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Bravo,MCI,GKP,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Brian Murphy,CAR,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Britos,WAT,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Brooks,BOU,MID,51,105.9,125.0,205.0,43.6,7,2,0,0,0,0,0,1,0,1.9,548,2,28
Browning,EVE,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bruno,BHA,DEF,44,15.8,32.8,0.0,4.9,0,0,0,0,0,0,0,0,0,0.1,182,1,14
Bryan,FUL,DEF,48,70.3,66.8,15.0,15.2,9,0,0,0,0,0,0,0,0,0.1,315,0,5
Button,BHA,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.7,0,0,0
Byram,WHU,DEF,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Caballero,CHE,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Cahill,CHE,DEF,52,0.0,2.8,0.0,0.3,0,0,0,0,0,0,0,0,0,0.6,21,0,1
Cairney,FUL,MID,48,84.7,61.8,16.0,16.3,7,0,1,0,0,0,0,0,0,0.7,265,0,10
Calvert-Lewin,EVE,FWD,53,26.0,82.8,105.0,21.3,6,2,0,0,0,0,0,1,0,0.8,335,2,20
Camarasa,CAR,MID,45,199.2,124.6,84.0,40.8,17,1,1,0,0,0,0,2,0,0.7,687,2,26
Capoue,WAT,MID,50,33.5,201.6,68.0,30.4,12,1,1,0,0,0,0,4,0,1.2,810,8,32
Carlos Sanchez,WHU,MID,44,27.7,20.2,24.0,7.2,4,0,0,0,0,0,0,0,0,0.2,217,0,7
Carrillo,SOU,FWD,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Carroll,WHU,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Cathcart,WAT,DEF,45,14.2,178.0,129.0,32.3,12,1,0,1,0,0,0,1,0,1.0,807,3,28
Cavaleiro,WOL,MID,53,23.5,35.6,33.0,8.8,0,1,0,0,0,0,0,1,0,0.0,57,0,7
Cech,ARS,GKP,50,0.0,205.0,0.0,20.4,9,0,0,0,0,0,27,0,0,1.6,585,3,24
Chalobah,WAT,MID,45,0.1,0.4,0.0,0.1,0,0,0,0,0,0,0,0,0,0.1,4,0,1
Chamberlain,LIV,MID,64,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Chambers,FUL,DEF,43,1.7,95.8,18.0,11.6,8,0,0,0,0,0,0,1,0,0.9,336,0,5
Chicharito,WHU,FWD,62,20.0,7.2,48.0,7.5,6,0,1,0,0,0,0,0,0,1.1,173,0,9
Chilwell,LEI,DEF,50,161.7,165.6,105.0,43.4,15,0,1,0,0,0,0,1,0,0.9,810,2,24
Choudhury,LEI,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Christensen,CHE,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Christie,FUL,DEF,43,111.1,97.8,23.0,23.2,13,0,0,0,0,0,0,1,0,0.2,357,0,3
Cisse,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Clark,NEW,DEF,45,2.2,136.6,47.0,18.7,10,1,0,0,0,0,0,0,0,0.2,485,0,16
Cleverley,WAT,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Clyne,LIV,DEF,46,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Coady,WOL,DEF,45,5.5,153.8,0.0,15.8,8,0,0,0,0,0,0,2,0,0.6,810,2,31
Coleman,EVE,DEF,52,36.2,85.4,49.0,17.0,6,0,0,0,0,0,0,1,0,0.7,450,0,11
Connolly,CAR,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
Cork,BUR,MID,48,91.0,91.2,51.0,23.4,17,0,0,0,0,0,0,3,0,0.5,810,0,17
Costa,WOL,MID,49,90.4,41.8,96.0,22.8,8,0,0,0,0,0,0,0,0,0.6,621,0,19
Courtois,CHE,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Cresswell,WHU,DEF,52,53.4,31.8,2.0,8.7,2,0,0,0,0,0,0,1,0,0.7,180,0,3
Cunningham,CAR,DEF,42,16.9,32.6,8.0,5.8,7,0,0,0,0,0,0,1,0,0.1,180,0,0
Cedric,SOU,DEF,44,109.3,149.6,59.0,31.8,14,0,1,0,0,0,0,3,0,4.7,775,6,25
Dahlberg,WAT,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dalot,MUN,DEF,53,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Damour,CAR,MID,44,0.7,0.6,8.0,0.9,0,0,0,0,0,0,0,0,0,0.1,4,0,1
Daniels,BOU,DEF,42,34.9,48.8,8.0,9.1,3,0,0,0,0,0,0,1,0,4.9,270,0,8
Danilo,MCI,DEF,51,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Dann,CRY,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Darlow,NEW,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Darmian,MUN,DEF,46,2.3,20.6,7.0,3.0,1,0,0,0,0,0,0,0,0,0.2,90,0,2
David Luiz,CHE,DEF,55,71.0,187.0,67.0,32.4,7,0,0,0,0,0,0,1,0,4.6,810,3,34
David Silva,MCI,MID,85,381.0,210.4,351.0,94.4,3,2,2,0,0,0,0,1,0,7.3,583,5,38
Davies,TOT,DEF,56,89.4,51.8,70.0,21.1,4,0,0,0,0,0,0,0,0,2.3,368,0,13
Davies,EVE,MID,53,55.3,61.6,26.0,14.3,7,0,0,0,0,0,0,2,0,0.1,496,0,11
Davis,SOU,MID,47,0.2,1.0,0.0,0.1,1,0,0,0,0,0,0,0,0,0.1,6,0,1
De Bruyne,MCI,MID,97,30.5,8.4,15.0,5.4,0,0,0,0,0,0,0,1,0,4.9,62,0,1
De Gea,MUN,GKP,58,0.0,214.0,0.0,21.4,16,0,0,0,0,0,29,0,0,17.6,810,1,25
Deeney,WAT,FWD,60,143.2,151.8,343.0,63.8,12,2,1,0,0,0,0,1,0,4.1,718,4,30
Defoe,BOU,FWD,57,0.0,3.0,23.0,2.6,2,0,0,0,0,0,0,0,0,0.5,13,0,2
Defour,BUR,MID,54,11.6,15.2,0.0,2.7,3,0,0,0,0,0,0,0,0,0.0,74,0,2
Delph,MCI,DEF,53,25.6,32.0,0.0,5.7,0,0,0,0,0,0,0,0,0,0.3,156,2,14
Dembele,TOT,MID,49,15.8,44.4,1.0,6.3,5,0,0,0,0,0,0,1,0,1.1,432,0,11
Dendoncker,WOL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Depoitre,HUD,FWD,52,62.9,35.8,150.0,24.6,11,0,1,0,0,0,0,1,0,0.5,441,0,14
Deulofeu,WAT,MID,54,9.7,4.6,8.0,2.2,0,0,0,0,0,0,0,0,0,0.2,84,0,4
Diabate,LEI,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Diakhaby,HUD,MID,47,23.7,18.2,10.0,5.0,6,0,0,0,0,0,0,0,0,0.0,230,0,9
Diame,NEW,MID,49,28.9,114.4,58.0,20.3,14,0,0,0,0,0,0,2,0,0.1,810,0,18
Diangana,WHU,MID,45,3.8,10.4,10.0,2.4,1,0,0,0,0,0,0,0,0,0.0,51,0,2
Diaz,MCI,MID,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dier,TOT,MID,48,80.7,142.0,45.0,26.9,5,1,0,0,0,0,0,1,0,2.2,691,0,24
Digne,EVE,DEF,48,199.3,135.4,68.0,40.3,7,0,1,0,0,0,0,1,0,1.6,529,2,23
Diop,WHU,DEF,43,22.3,152.2,29.0,20.2,8,0,0,1,0,0,0,1,0,0.6,630,0,14
Doherty,WOL,DEF,48,145.3,182.2,180.0,50.6,8,1,2,1,0,0,0,0,0,16.2,769,9,50
Doucoure,WAT,MID,59,181.4,174.4,116.0,47.2,12,0,4,1,0,0,0,2,0,1.7,810,6,34
Douglas,WOL,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dowell,EVE,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Drinkwater,CHE,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dubravka,NEW,GKP,50,0.0,213.2,0.0,21.2,14,0,0,0,0,0,26,0,0,0.5,810,3,30
Duffy,BHA,DEF,45,21.1,321.0,71.0,41.3,13,2,2,0,0,0,0,2,0,4.6,810,3,39
Dummett,NEW,DEF,44,53.8,129.0,4.0,18.7,9,0,0,0,0,0,0,0,0,0.2,630,0,18
Dunk,BHA,DEF,44,32.6,142.2,16.0,19.1,10,0,0,0,0,0,0,0,0,1.4,649,2,20
Durm,HUD,DEF,44,55.3,52.2,47.0,15.4,7,0,0,0,0,0,0,0,0,0.1,374,0,7
Ecuele Manga,CAR,DEF,45,70.9,177.6,5.0,25.4,19,0,1,0,0,0,0,0,0,0.1,810,0,21
Ederson,MCI,GKP,57,20.0,134.6,0.0,15.4,3,0,1,0,0,0,13,0,0,25.4,810,2,49
Elliot,NEW,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Elneny,ARS,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.7,0,0,0
Elyounoussi,SOU,MID,63,159.5,57.6,128.0,34.5,2,0,0,0,0,0,0,0,0,0.2,419,0,14
Emerson,CHE,DEF,52,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Enobakhare,WOL,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Eriksen,TOT,MID,92,201.0,109.8,125.0,43.7,7,0,2,0,0,0,0,0,0,4.4,541,0,20
Etheridge,CAR,GKP,46,0.0,294.8,0.0,29.4,19,0,0,0,0,2,32,0,0,6.7,810,3,38
Evans,LEI,DEF,48,0.9,40.6,2.0,4.3,4,0,0,0,0,0,0,1,0,0.3,276,0,9
Fabianski,WHU,GKP,45,0.0,267.6,0.0,26.6,14,0,0,0,0,0,37,0,0,13.3,810,4,33
Fabinho,LIV,MID,56,0.8,6.2,0.0,0.7,0,0,0,0,0,0,0,0,0,0.5,21,0,1
Fabri,FUL,GKP,44,0.0,115.2,0.0,11.5,5,0,0,0,0,0,15,0,0,0.3,180,2,8
Felipe Anderson,WHU,MID,68,319.3,192.2,117.0,62.8,13,1,1,0,0,0,0,2,0,2.5,730,3,27
Fellaini,MUN,MID,50,57.9,119.6,109.0,28.6,7,0,2,0,0,0,0,0,0,0.8,470,0,19
Fernandes,WHU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Fernandinho,MCI,MID,54,139.8,185.2,91.0,41.7,3,1,2,0,0,0,0,1,0,5.0,793,3,37
Fernandez,NEW,DEF,44,30.6,134.8,40.0,20.6,10,0,1,0,0,0,0,1,0,0.2,540,1,15
Firmino,LIV,FWD,93,163.5,166.6,275.0,60.4,2,2,2,0,0,0,0,0,0,21.5,675,4,35
Foden,MCI,MID,47,41.4,11.6,49.0,10.2,0,0,0,0,0,0,0,0,0,0.1,46,0,4
Fonte,FUL,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Forster,SOU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Foster,WAT,GKP,45,20.0,140.2,0.0,16.0,12,0,0,0,0,0,17,0,0,4.2,810,0,24
Fosu-Mensah,FUL,DEF,45,65.3,47.2,23.0,13.5,8,0,0,0,0,0,0,1,0,0.5,367,0,5
Francis,BOU,DEF,44,60.4,121.0,15.0,19.6,7,0,1,0,0,0,0,0,0,0.4,462,0,20
Fraser,BOU,MID,60,302.8,249.4,167.0,71.9,12,3,3,0,0,0,0,1,0,22.1,771,7,51
Fred,MUN,MID,56,92.3,75.8,46.0,21.5,8,1,0,0,0,0,0,1,0,1.8,337,3,17
Fredericks,WHU,DEF,46,36.9,43.0,10.0,9.1,8,0,0,0,0,0,0,2,0,0.2,270,0,1
Fuchs,LEI,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Fabregas,CHE,MID,63,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Gabbiadini,SOU,FWD,56,6.6,12.2,43.0,5.7,5,0,0,0,0,0,0,0,0,0.2,151,0,7
Gayle,NEW,FWD,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gazzaniga,TOT,GKP,45,0.0,55.6,0.0,5.5,1,0,0,0,0,0,8,0,0,0.1,180,0,10
Ghezzal,LEI,MID,53,103.7,58.2,59.0,22.0,7,1,0,0,0,0,0,2,0,0.2,265,2,14
Gibbs-White,WOL,MID,44,12.5,2.2,2.0,1.6,0,0,0,0,0,0,0,1,0,0.3,31,0,3
Gibson,BUR,DEF,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Giroud,CHE,FWD,78,158.8,90.2,170.0,41.2,2,0,4,0,0,0,0,0,0,2.5,365,2,26
Gomes,WAT,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Gomez,LIV,DEF,51,89.1,162.8,42.0,29.4,3,0,0,0,0,0,0,0,0,4.0,755,2,39
Gosling,BOU,MID,49,64.4,83.2,42.0,18.9,7,0,0,0,0,0,0,3,0,0.1,507,0,11
Grant,MUN,GKP,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Gray,WAT,FWD,60,59.3,124.4,247.0,42.9,9,3,0,0,0,0,0,0,0,1.3,596,2,30
Gray,LEI,MID,54,55.2,66.8,114.0,23.6,8,1,0,0,0,0,0,0,0,0.9,438,2,19
Gross,BHA,MID,67,76.4,70.6,63.0,21.0,4,1,0,0,1,0,0,0,0,1.9,217,3,11
Guaita,CRY,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gudmundsson,BUR,MID,60,183.1,196.8,146.0,52.7,12,1,5,0,0,0,0,1,0,3.5,644,5,41
Guendouzi,ARS,MID,45,43.5,72.0,16.0,13.1,8,0,0,0,0,0,0,1,0,2.3,388,0,9
Gueye,EVE,MID,49,57.6,176.8,30.0,26.4,11,0,0,0,0,0,0,2,0,0.3,720,0,16
Gunn,SOU,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Gunnarsson,CAR,MID,44,10.5,9.8,2.0,2.2,2,0,0,0,0,0,0,1,0,0.4,76,0,1
Gundogan,MCI,MID,55,130.0,110.0,117.0,35.5,2,1,2,0,0,0,0,0,0,2.2,352,5,28
Hadergjonaj,HUD,DEF,44,92.6,61.6,25.0,17.7,13,0,0,0,0,0,0,1,0,0.1,568,0,14
Halford,CAR,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hamer,HUD,GKP,40,0.0,78.4,0.0,7.8,9,0,0,0,0,0,11,0,0,8.0,192,0,4
Harris,CAR,MID,45,1.3,36.0,35.0,7.2,0,1,0,0,0,0,0,0,0,0.0,20,0,7
Hart,BUR,GKP,46,0.0,322.4,0.0,32.2,17,0,0,0,0,1,41,0,0,9.2,810,3,39
Hause,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Hayden,NEW,MID,44,2.1,19.4,0.0,2.2,2,0,0,0,0,0,0,0,1,0.1,110,0,0
Hazard,CHE,MID,114,386.2,399.2,451.0,123.7,5,7,3,0,0,0,0,1,0,49.7,666,13,75
Heaton,BUR,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Hemed,BHA,FWD,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Henderson,LIV,MID,53,62.5,78.8,2.0,14.6,3,0,0,0,0,0,0,0,0,0.8,455,0,15
Hendrick,BUR,MID,54,50.4,65.2,139.0,25.5,15,1,0,0,0,0,0,1,0,0.2,476,0,17
Hennessey,CRY,GKP,46,0.0,248.6,0.0,25.0,11,0,0,0,0,1,29,0,0,7.2,810,3,40
Herrera,MUN,MID,50,2.1,16.2,53.0,7.2,3,0,0,0,0,0,0,1,0,0.1,83,0,2
Hoedt,SOU,DEF,44,16.2,191.0,20.0,22.9,14,0,0,1,0,0,0,1,0,0.3,810,2,23
Hogg,HUD,MID,44,37.2,48.2,13.0,9.8,7,0,0,0,0,0,0,0,1,0.2,422,0,8
Hoilett,CAR,MID,51,55.1,46.0,64.0,15.9,14,0,0,0,0,0,0,1,0,0.1,503,0,12
Holding,ARS,DEF,44,1.7,76.8,9.0,8.8,2,0,0,0,0,0,0,1,0,0.6,321,3,13
Holebas,WAT,DEF,48,260.8,226.0,40.0,52.7,12,1,4,0,0,0,0,5,0,13.6,713,6,35
Holgate,EVE,DEF,45,5.0,92.2,2.0,9.9,9,0,0,0,0,0,0,1,0,0.2,407,0,5
Hudson-Odoi,CHE,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Hughes,WAT,MID,50,151.2,152.6,150.0,45.5,11,1,1,0,0,0,0,2,0,2.0,730,2,28
Hugill,WHU,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hyndman,BOU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hojbjerg,SOU,MID,45,114.9,182.0,119.0,41.8,12,2,0,0,0,0,0,1,1,5.7,616,4,26
Ibe,BOU,MID,51,47.2,11.6,8.0,6.7,2,0,0,0,0,0,0,0,0,0.2,49,0,3
Iborra,LEI,MID,47,1.8,6.6,2.0,1.1,1,0,0,0,0,0,0,0,0,0.0,15,0,2
Iheanacho,LEI,FWD,59,135.3,112.8,99.0,34.6,7,1,4,0,0,0,0,0,0,1.7,514,3,34
