Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Abraham,CHE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Adam Smith,BOU,DEF,45,46.1,114.8,37.0,19.8,9,1,0,0,0,0,0,0,1,0.8,576,0,18
Adrian,WHU,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Aguero,MCI,FWD,114,172.2,232.2,499.0,90.4,3,5,4,0,0,0,0,0,0,52.1,511,6,51
Ake,BOU,DEF,50,8.1,166.4,76.0,25.0,12,1,0,0,0,0,0,0,0,4.3,630,3,22
Albrighton,LEI,MID,53,58.8,78.2,36.0,17.4,3,1,1,0,0,0,0,0,0,0.6,200,0,15
Alderweireld,TOT,DEF,59,33.0,122.4,22.0,17.7,6,0,0,0,0,0,0,0,0,2.6,530,0,18
Alexander-Arnold,LIV,DEF,51,110.0,112.0,60.0,28.2,2,0,1,0,0,0,0,3,0,20.7,625,2,36
Alisson,LIV,GKP,56,0.0,126.8,0.0,12.6,3,0,0,0,0,0,16,0,0,18.8,630,1,33
Alli,TOT,MID,90,48.1,111.4,192.0,35.2,5,1,1,0,0,0,0,0,0,3.5,361,2,20
Alonso,CHE,DEF,69,133.4,174.4,126.0,43.5,5,1,5,0,0,0,0,1,0,45.6,630,9,54
Amartey,LEI,MID,45,31.0,77.6,11.0,12.1,3,0,0,0,0,0,0,1,0,0.3,369,0,10
Amos,TOT,MID,44,0.1,2.2,0.0,0.2,0,0,0,0,0,0,0,0,0,0.1,2,0,1
Ampadu,CHE,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andone,BHA,FWD,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Andre Gomes,EVE,MID,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Antonio,WHU,MID,68,54.8,38.0,208.0,30.1,5,0,0,0,0,0,0,1,0,0.9,323,0,11
Armstrong,SOU,MID,52,42.7,18.2,23.0,8.4,3,0,0,0,0,0,0,0,0,0.1,119,0,5
Arnautovic,WHU,FWD,70,84.9,167.2,215.0,46.3,9,4,1,0,0,0,0,0,0,15.9,449,6,36
Arter,CAR,MID,49,26.0,48.4,25.0,10.0,12,0,0,0,0,0,0,3,0,0.2,495,0,10
Atsu,NEW,MID,52,43.0,27.4,8.0,7.8,2,0,0,0,0,0,0,0,0,0.1,164,0,5
Aubameyang,ARS,FWD,108,111.3,104.4,135.0,35.1,8,2,1,0,0,0,0,0,0,10.1,554,3,28
Aurier,TOT,DEF,58,21.1,32.8,4.0,5.8,1,0,1,0,0,0,0,0,0,0.7,104,0,6
